source_name,source_path,output_path,status,output_width,output_height
Essential-Elements-Ukulele.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Essential-Elements-Ukulele.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/essential-elements-ukulele.png,normalized,2048,2048
FEADOG.jpg,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/FEADOG.jpg,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/feadog.png,normalized,2048,2048
FN120.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/FN120.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/fn120.png,normalized,2048,2048
FN75-2-scaled.webp,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/FN75-2-scaled.webp,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/fn75-2-scaled.png,normalized,2048,2048
FNBTR1 Fender Bar Tray Custom Shop.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/FNBTR1 Fender Bar Tray Custom Shop.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/fnbtr1-fender-bar-tray-custom-shop.png,normalized,2048,2048
FNCO4 Fender Coasters Set:4.jpg,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/FNCO4 Fender Coasters Set:4.jpg,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/fnco4-fender-coasters-set-4.png,normalized,2048,2048
FNHG4 Fender Hiball Glass Set:4 .webp,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/FNHG4 Fender Hiball Glass Set:4 .webp,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/fnhg4-fender-hiball-glass-set-4.png,normalized,2048,2048
FNRK4 Fender Rock Glass Set:4.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/FNRK4 Fender Rock Glass Set:4.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/fnrk4-fender-rock-glass-set-4.png,normalized,2048,2048
Fast-Track-Keyboard.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Fast-Track-Keyboard.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/fast-track-keyboard.png,normalized,2048,2048
Fun-With-Banjo.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Fun-With-Banjo.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/fun-with-banjo.png,normalized,2048,2048
Fun-With-Uke.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Fun-With-Uke.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/fun-with-uke.png,normalized,2048,2048
GPALL-BG.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/GPALL-BG.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/gpall-bg.png,normalized,2048,2048
GPGEO-CM.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/GPGEO-CM.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/gpgeo-cm.png,normalized,2048,2048
GPNOT-CP.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/GPNOT-CP.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/gpnot-cp.png,normalized,2048,2048
Guitar-Chord-Encyclopledia.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Guitar-Chord-Encyclopledia.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/guitar-chord-encyclopledia.png,normalized,2048,2048
Guitar-Chords.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Guitar-Chords.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/guitar-chords.png,normalized,2048,2048
Guitar-Method-1.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Guitar-Method-1.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/guitar-method-1.png,normalized,2048,2048
Guitar-Method-2.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Guitar-Method-2.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/guitar-method-2.png,normalized,2048,2048
Guitar-Method-3.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Guitar-Method-3.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/guitar-method-3.png,normalized,2048,2048
Guitar-Method.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Guitar-Method.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/guitar-method.png,normalized,2048,2048
Guitar-Primer.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Guitar-Primer.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/guitar-primer.png,normalized,2048,2048
Guitar-Tab-Book.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Guitar-Tab-Book.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/guitar-tab-book.png,normalized,2048,2048
Johnson BK-520-C Blues King Harmonica.jpg,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Johnson BK-520-C Blues King Harmonica.jpg,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/johnson-bk-520-c-blues-king-harmonica.png,normalized,2048,2048
Kids-Guitar-Method.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Kids-Guitar-Method.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/kids-guitar-method.png,normalized,2048,2048
LEE HARM.webp,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/LEE HARM.webp,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/lee-harm.png,normalized,2048,2048
LLBGD303P.jpg,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/LLBGD303P.jpg,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/llbgd303p.png,normalized,2048,2048
LLBGD304B.jpeg,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/LLBGD304B.jpeg,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/llbgd304b.png,normalized,2048,2048
LLBGD304W.jpeg,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/LLBGD304W.jpeg,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/llbgd304w.png,normalized,2048,2048
LOHP-Harmonica-Case.jpg,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/LOHP-Harmonica-Case.jpg,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/lohp-harmonica-case.png,normalized,2048,2048
Little-Fingers.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Little-Fingers.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/little-fingers.png,normalized,2048,2048
MANU.jpg,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/MANU.jpg,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/manu.png,normalized,2048,2048
MINHARP.jpg,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/MINHARP.jpg,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/minharp.png,normalized,2048,2048
ONSTAGE OSIHH1020.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/ONSTAGE OSIHH1020.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/onstage-osihh1020.png,normalized,2048,2048
Play-Piano-Today.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Play-Piano-Today.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/play-piano-today.png,normalized,2048,2048
Reed-Plate.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Reed-Plate.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/reed-plate.png,normalized,2048,2048
SLIDE.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/SLIDE.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/slide.png,normalized,2048,2048
Teach-Yourself-Guitar.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Teach-Yourself-Guitar.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/teach-yourself-guitar.png,normalized,2048,2048
Teach-Yourself-Piano.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Teach-Yourself-Piano.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/teach-yourself-piano.png,normalized,2048,2048
Trumpet-Primer.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/Trumpet-Primer.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/trumpet-primer.png,normalized,2048,2048
cascha cajon book hh-1701-de-01.jpeg,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/cascha cajon book hh-1701-de-01.jpeg,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/cascha-cajon-book-hh-1701-de-01.png,normalized,2048,2048
cascha harmonica book hh1602en.jpeg,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/cascha harmonica book hh1602en.jpeg,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/cascha-harmonica-book-hh1602en.png,normalized,2048,2048
feadog_whistle.jpg,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/feadog_whistle.jpg,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/feadog-whistle.png,normalized,2048,2048
grover jaw harp 8037.jpg,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/grover jaw harp 8037.jpg,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/grover-jaw-harp-8037.png,normalized,2048,2048
grover melody harp FN600.jpg,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/grover melody harp FN600.jpg,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/grover-melody-harp-fn600.png,normalized,2048,2048
harm fender.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/harm fender.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/harm-fender.png,normalized,2048,2048
hohner-hpn5.png,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/hohner-hpn5.png,/Users/lpdmusic/Documents/New project/harmbooks-normalized-sample/hohner-hpn5.png,normalized,2048,2048
