path,width,height,format
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350cst_aged-black.jpg,1511,4543,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350cst_aged-white.jpg,1511,4543,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350pf_aged-black.jpg,1580,4660,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350pg_aged-lemon-drop.jpg,1579,4681,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350std_black.jpg,1511,4543,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350std_brown-sunburst.jpg,1522,4543,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350std_cherry-sunburst.jpg,1523,4543,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-590af_aged-cherry-sunburst.jpg,1800,1800,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-590std_aged-cherry-sunburst.png,1800,1800,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-f80_black-top.png,1800,1800,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_rsb-618-4_black.jpeg,1470,4833,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_rsb-618-4_white.jpeg,1470,4816,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_sb-700_gold-wing.png,1800,1800,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_sb-one_black.jpg,1800,1800,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_sb-one_candy-apple-red.jpg,1800,1800,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_sb-one_silver.jpg,1800,1800,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-jb-b_white.jpeg,273,902,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-jb-tt_black.jpg,1464,4726,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-jb-tt_sunburst.jpg,1457,4727,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-jb_3-tone-sunburst.jpeg,783,2500,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-jb_black.jpeg,782,2500,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-jb_white.jpeg,273,902,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-pb_3-tone-sunburst.jpg,1381,4639,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-pb_black.jpg,1393,4750,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-pb_white.jpg,1391,4733,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-pbb-wh_white-w-maple.jpeg,807,1030,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-pbb-wh_white-w-rosewood.jpeg,1338,4549,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003-lefty_3-tone-sunburst.png,1800,1800,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003-lefty_black.png,1800,1800,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003_3-tone-sunburst.jpg,1349,3932,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003_black.jpg,1349,3908,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003_candy-apple-red.jpg,1343,3903,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003_green.png,185,498,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003_metal-blue.jpg,1338,3909,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003_sonic-blue.png,349,492,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003_white.jpg,1343,3912,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003spl_3-tone-sunburst.jpg,1543,4386,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003spl_black-maple-fingerboard.jpg,1631,4652,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003spl_vintage-white.jpg,1543,4379,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-62-vw_vintage-white.jpg,1556,4448,JPEG
