SKU,Product Name,Category,Match Type,Finish Count,Matched Files
D59RBAR,Fifty Niner Baritone,Specialty Guitars,exact-phrase,2,Danelectro Fifty Niner Baritone Black.png | Danelectro Fifty Niner Baritone Jade.png
D56BAR-MF,‘56 Bari ELECTRIC GUITAR,Specialty Guitars,exact-phrase,8,Danelectro ‘56 Bari Blue Metalflake.png | Danelectro ‘56 Bari Red Metalflake.png | Danelectro ‘56 Baritone Black Metalflake.png | Danelectro ‘56 Baritone Black.png | Danelectro ‘56 Baritone Lefty Black.png | Danelectro ‘56 Baritone Red Burst.png | Danelectro ‘56 Baritone Red.png | Danelectro ‘56 Baritone Silver Metalflake.png
COSITAR,Coral Sitar,Specialty Guitars,exact-phrase,5,Danelectro Coral Sitar Black Crackle.png | Danelectro Coral Sitar Blue Metalflake.png | Danelectro Coral Sitar Red Crackle.png | Danelectro Coral Sitar Red Metalflake.png | Danelectro Coral Sitar White Crackle.png
DBSITAR,Baby Sitar,Specialty Guitars,exact-phrase,3,Danelectro Baby Sitar Aqua.png | Danelectro Baby Sitar Red Crackle.png | Danelectro Baby Sitar Sunburst.png
DCORSITAR-bluMF,Coral Sitar Blue Metalflake,Specialty Guitars,exact-phrase,1,Danelectro Coral Sitar Blue Metalflake.png
DCORSITAR-REDMF,Coral Sitar Red Metalflake,Specialty Guitars,exact-phrase,1,Danelectro Coral Sitar Red Metalflake.png
D56BASS-BLK,‘56 SINGLE CUT BASS,Bass Guitars,exact-phrase,1,Danelectro ‘56 Single Cut Bass Black.png
59SSB,‘59 DC Short SCALE BASS,Bass Guitars,exact-phrase,3,Danelectro ‘59 DC Short Scale Bass Black Metalflake.png | Danelectro ‘59 DC Short Scale Bass Copper.png | Danelectro ‘59 DC Short Scale Bass Cream.png
D59DCBASS,‘59 DC LONG SCALE BASS,Bass Guitars,exact-phrase,2,Danelectro ‘59 DC Long Scale Bass Black.png | Danelectro ‘59 DC Long Scale Bass Copperburst.png
59RSSB-JADE,Fifty niner™ bass,Bass Guitars,exact-phrase,1,Danelectro Fifty Niner Bass Jade.png
DLHBASS,LONGHORN BASS,Bass Guitars,exact-phrase,3,Danelectro Longhorn Bass Black.png | Danelectro Longhorn Bass Copperburst.png | Danelectro Longhorn Bass Lefty Copperburst.png
D58LHBLFT,Longhorn Bass LEfty,Bass Guitars,exact-phrase,1,Danelectro Longhorn Bass Lefty Copperburst.png
D58LHB,Longhorn Semi-hollow bass,Bass Guitars,exact-phrase,4,Danelectro Longhorn Semi-Hollow Bass Jade.png | Danelectro Longhorn Semi-Hollow Bass Moonlight Delight.png | Danelectro Longhorn Semi-Hollow Bass Red.png | Danelectro Longhorn Semi-Hollow Bass White.png
