SKU,Product Name,Finish,Image File,Image Folder,Image Path,Sort Order,Section,Category
BO59-MF,Blackout ‘59,Purple Metalflake,danelectro_bo59-mf_purple-metalflake.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_bo59-mf_purple-metalflake.png,1,Fretted Instruments,Electric Guitars
BO59-MF,Blackout ‘59,Black Metalflake,danelectro_bo59-mf_black-metalflake.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_bo59-mf_black-metalflake.png,2,Fretted Instruments,Electric Guitars
59XT,‘59XT,Dark Aqua,danelectro_59xt_aqua.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59xt_aqua.png,1,Fretted Instruments,Electric Guitars
59XT,‘59XT,Black,danelectro_59xt_black.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59xt_black.png,2,Fretted Instruments,Electric Guitars
59XT,‘59XT,Silver,danelectro_59xt_silver.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59xt_silver.png,3,Fretted Instruments,Electric Guitars
59XT,‘59XT,Dark Burgundy,danelectro_59xt_burgundy.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59xt_burgundy.png,4,Fretted Instruments,Electric Guitars
59XT,‘59XT,Vintage Cream,danelectro_59xt_vintage-cream.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59xt_vintage-cream.png,5,Fretted Instruments,Electric Guitars
D59R,Fifty Niner,Gold,danelectro_d59r_gold.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59r_gold.png,1,Fretted Instruments,Electric Guitars
D59R,Fifty Niner,Jade,danelectro_d59r_jade.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59r_jade.png,2,Fretted Instruments,Electric Guitars
D59R,Fifty Niner,Red,danelectro_d59r_red.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59r_red.png,3,Fretted Instruments,Electric Guitars
BO59-GRN,Blackout ‘59,Green Metalflake,danelectro_bo59-grn_green-metalflake.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_bo59-grn_green-metalflake.png,1,Fretted Instruments,Electric Guitars
DPBS,PB Special,Black,danelectro_dpbs_black.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dpbs_black.png,1,Fretted Instruments,Electric Guitars
DPBS,PB Special,White,danelectro_dpbs_white.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dpbs_white.png,2,Fretted Instruments,Electric Guitars
64XT,64XT,Aqua,danelectro_64xt_aqua.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_64xt_aqua.png,1,Fretted Instruments,Electric Guitars
D67,67 Dano,Aqua,danelectro_d67_aqua.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d67_aqua.png,1,Fretted Instruments,Electric Guitars
D67,67 Dano,Red,danelectro_d67_red.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d67_red.png,2,Fretted Instruments,Electric Guitars
D67,67 Dano,Black,danelectro_d67_black.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d67_black.png,3,Fretted Instruments,Electric Guitars
D67,67 Dano,Yellow,danelectro_d67_yellow.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d67_yellow.png,4,Fretted Instruments,Electric Guitars
DLHGUITAR-CPR,Longhorn Guitar,Copperburst,danelectro_dlhguitar-cpr_copperburst.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dlhguitar-cpr_copperburst.png,1,Fretted Instruments,Electric Guitars
DPRO,Pro Semi-Hollow Electric Guitar,Silver Glitter,danelectro_dpro_silver-glitter.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dpro_silver-glitter.png,1,Fretted Instruments,Electric Guitars
CONV,Convertible,Tobacco Sunburst,danelectro_conv_tobacco-sunburst.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_conv_tobacco-sunburst.png,1,Fretted Instruments,Electric Guitars
CONV,Convertible,Black,danelectro_conv_black.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_conv_black.png,2,Fretted Instruments,Electric Guitars
CONV,Convertible,Cream,danelectro_conv_cream.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_conv_cream.png,3,Fretted Instruments,Electric Guitars
12SDC,12SDC 12 String,Gloss Black,danelectro_12sdc_black.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_12sdc_black.png,1,Fretted Instruments,Specialty Guitars
12SDC,12SDC 12 String,Vintage White,danelectro_12sdc_vintage-white.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_12sdc_vintage-white.png,2,Fretted Instruments,Specialty Guitars
12SDC,12SDC 12 String,Aqua,danelectro_12sdc_aqua.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_12sdc_aqua.png,3,Fretted Instruments,Specialty Guitars
59R12ST,Fifty Niner 12 string,Black,danelectro_59r12st_black.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59r12st_black.png,1,Fretted Instruments,Specialty Guitars
59R12ST,Fifty Niner 12 string,Gold,danelectro_59r12st_gold.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59r12st_gold.png,2,Fretted Instruments,Specialty Guitars
D59X12,59x 12 String,Black,danelectro_d59x12_black.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59x12_black.png,1,Fretted Instruments,Specialty Guitars
D59X12,59x 12 String,Blood Red,danelectro_d59x12_blood-red.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59x12_blood-red.png,2,Fretted Instruments,Specialty Guitars
D59X12,59x 12 String,Vintage Cream,danelectro_d59x12_vintage-cream.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59x12_vintage-cream.png,3,Fretted Instruments,Specialty Guitars
D59X12,59x 12 String,Ice Grey,danelectro_d59x12_ice-grey.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59x12_ice-grey.png,4,Fretted Instruments,Specialty Guitars
D59X12,59x 12 String,Red Burst,danelectro_d59x12_red-burst.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59x12_red-burst.png,5,Fretted Instruments,Specialty Guitars
D59RESO,‘59 Resonator,Black,danelectro_d59reso_black.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59reso_black.png,1,Fretted Instruments,Specialty Guitars
D59RESO,‘59 Resonator,Tobacco Sunburst,danelectro_d59reso_tobacco-sunburst.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59reso_tobacco-sunburst.png,2,Fretted Instruments,Specialty Guitars
D59V12,Vintage 12 String,Aqua,danelectro_d59v12_aqua.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59v12_aqua.png,1,Fretted Instruments,Specialty Guitars
D59V12,Vintage 12 String,Red,danelectro_d59v12_red.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59v12_red.png,2,Fretted Instruments,Specialty Guitars
D59V12,Vintage 12 String,Vintage White,danelectro_d59v12_vintage-white.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59v12_vintage-white.png,3,Fretted Instruments,Specialty Guitars
D59V12,Vintage 12 String,Black,danelectro_d59v12_black.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59v12_black.png,4,Fretted Instruments,Specialty Guitars
DBN612,Doubleneck 6/12,Red Crackle,danelectro_dbn612_red-crackle.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dbn612_red-crackle.png,1,Fretted Instruments,Specialty Guitars
DBN612,Doubleneck 6/12,White,danelectro_dbn612_white.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dbn612_white.png,2,Fretted Instruments,Specialty Guitars
D56VBAR,‘56 Vintage Baritone,Black,danelectro_d56vbar_black.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56vbar_black.png,1,Fretted Instruments,Specialty Guitars
D56VBAR,‘56 Vintage Baritone,Vintage White,danelectro_d56vbar_vintage-white.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56vbar_vintage-white.png,2,Fretted Instruments,Specialty Guitars
D56VBAR,‘56 Vintage Baritone,Red,danelectro_d56vbar_metallic-red.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56vbar_metallic-red.png,3,Fretted Instruments,Specialty Guitars
D56VBAR,‘56 Vintage Baritone,Aqua,danelectro_d56vbar_aqua.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56vbar_aqua.png,4,Fretted Instruments,Specialty Guitars
D56BAR,56 Baritone,Black,danelectro_d56bar_black.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56bar_black.png,1,Fretted Instruments,Specialty Guitars
D56BAR,56 Baritone,Red,danelectro_d56bar_red.png,Specialty Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56bar_red.png,2,Fretted Instruments,Specialty Guitars
